,Family,Father,Mother,Gender,Height,Kids,Parent.avg
44,14,185.42,170.18,M,170.18,2,177.8
45,15,185.42,168.91,M,180.34,3,177.165
46,15,185.42,168.91,M,179.07,3,177.165
47,15,185.42,168.91,F,169.418,3,177.165
48,16,185.42,165.1,M,182.88,9,175.26
49,16,185.42,165.1,M,179.07,9,175.26
50,16,185.42,165.1,M,178.308,9,175.26
51,16,185.42,165.1,M,178.308,9,175.26
52,16,185.42,165.1,M,175.768,9,175.26
53,16,185.42,165.1,F,174.498,9,175.26
54,16,185.42,165.1,F,168.91,9,175.26
55,16,185.42,165.1,F,163.83,9,175.26
56,16,185.42,165.1,F,161.29,9,175.26
57,17,185.42,163.83,M,187.96,6,174.625
58,17,185.42,163.83,M,185.42,6,174.625
59,17,185.42,163.83,M,181.61,6,174.625
60,17,185.42,163.83,M,158.75,6,174.625
61,17,185.42,163.83,F,168.91,6,174.625
62,17,185.42,163.83,F,158.242,6,174.625
63,18,185.42,162.56,F,167.64,3,173.99
64,18,185.42,162.56,F,163.83,3,173.99
65,18,185.42,162.56,F,162.56,3,173.99
66,19,185.928,160.02,F,159.258,1,172.974
67,20,184.658,175.26,M,185.928,8,179.959
68,20,184.658,175.26,M,185.42,8,179.959
69,20,184.658,175.26,M,184.658,8,179.959
70,20,184.658,175.26,F,177.8,8,179.959
71,20,184.658,175.26,F,175.26,8,179.959
72,20,184.658,175.26,F,173.99,8,179.959
73,20,184.658,175.26,F,172.72,8,179.959
74,20,184.658,175.26,F,167.64,8,179.959
75,21,182.88,172.72,M,185.42,3,177.8
76,21,182.88,172.72,F,173.99,3,177.8
77,21,182.88,172.72,F,172.72,3,177.8
78,22,182.88,170.18,M,185.42,3,176.53
79,22,182.88,170.18,M,180.34,3,176.53
80,22,182.88,170.18,F,170.18,3,176.53
81,23,182.88,165.1,M,188.468,7,173.99
82,23,182.88,165.1,M,179.07,7,173.99
83,23,182.88,165.1,M,176.53,7,173.99
84,23,182.88,165.1,F,167.64,7,173.99
85,23,182.88,165.1,F,166.37,7,173.99
86,23,182.88,165.1,F,165.1,7,173.99
87,23,182.88,165.1,F,165.1,7,173.99
88,24,182.88,166.37,F,166.37,1,174.625
89,25,182.88,162.56,F,167.64,2,172.72
90,25,182.88,162.56,F,160.02,2,172.72
91,26,182.88,160.02,M,179.07,5,171.45
92,26,182.88,160.02,M,179.07,5,171.45
93,26,182.88,160.02,M,175.26,5,171.45
94,26,182.88,160.02,F,165.1,5,171.45
95,26,182.88,160.02,F,160.02,5,171.45
96,27,182.88,160.02,M,175.26,3,171.45
97,27,182.88,160.02,M,170.18,3,171.45
98,27,182.88,160.02,F,160.02,3,171.45
99,28,182.88,160.02,M,185.42,6,171.45
100,28,182.88,160.02,M,170.18,6,171.45
101,28,182.88,160.02,F,179.07,6,171.45
102,28,182.88,160.02,F,177.8,6,171.45
103,28,182.88,160.02,F,168.91,6,171.45
104,28,182.88,160.02,F,160.02,6,171.45
105,29,184.15,161.29,F,171.45,3,172.72
106,29,184.15,161.29,F,170.688,3,172.72
107,29,184.15,161.29,F,169.418,3,172.72
108,30,182.88,157.48,F,162.56,1,170.18
109,31,184.15,157.48,M,180.34,6,170.815
110,31,184.15,157.48,M,177.8,6,170.815
111,31,184.15,157.48,M,177.8,6,170.815
112,31,184.15,157.48,F,167.64,6,170.815
113,31,184.15,157.48,F,165.1,6,170.815
114,31,184.15,157.48,F,165.1,6,170.815
115,32,182.88,157.48,M,187.96,5,170.18
116,32,182.88,157.48,M,182.88,5,170.18
117,32,182.88,157.48,M,175.26,5,170.18
118,32,182.88,157.48,F,171.45,5,170.18
119,32,182.88,157.48,F,161.29,5,170.18
120,33,182.88,157.48,M,182.88,5,170.18
121,33,182.88,157.48,M,181.61,5,170.18
122,33,182.88,157.48,M,181.61,5,170.18
123,33,182.88,157.48,M,177.8,5,170.18
124,33,182.88,157.48,F,172.72,5,170.18
125,34,182.88,154.94,F,166.878,1,168.91
126,35,180.34,175.26,M,198.12,5,177.8
127,35,180.34,175.26,M,187.96,5,177.8
128,35,180.34,175.26,M,185.42,5,177.8
129,35,180.34,175.26,M,182.88,5,177.8
130,35,180.34,175.26,F,170.18,5,177.8
131,36,180.34,170.18,M,185.928,4,175.26
132,36,180.34,170.18,M,185.42,4,175.26
133,36,180.34,170.18,M,175.26,4,175.26
134,36,180.34,170.18,F,170.18,4,175.26
135,37,180.34,167.64,M,177.8,4,173.99
136,37,180.34,167.64,F,170.18,4,173.99
137,37,180.34,167.64,F,170.18,4,173.99
138,37,180.34,167.64,F,168.91,4,173.99
139,38,180.34,167.64,M,177.8,6,173.99
140,38,180.34,167.64,M,175.26,6,173.99
141,38,180.34,167.64,M,173.99,6,173.99
142,38,180.34,167.64,F,167.64,6,173.99
143,38,180.34,167.64,F,163.83,6,173.99
144,38,180.34,167.64,F,160.02,6,173.99
145,39,180.34,167.64,M,180.34,2,173.99
146,39,180.34,167.64,F,170.18,2,173.99
147,40,180.34,167.64,M,193.04,5,173.99
148,40,180.34,167.64,M,182.88,5,173.99
149,40,180.34,167.64,M,180.34,5,173.99
150,40,180.34,167.64,M,167.64,5,173.99
151,40,180.34,167.64,F,167.64,5,173.99
152,41,182.118,166.37,M,179.07,1,174.244
153,42,180.34,166.37,M,182.88,6,173.355
154,42,180.34,166.37,M,182.88,6,173.355
155,42,180.34,166.37,M,180.34,6,173.355
156,42,180.34,166.37,M,175.26,6,173.355
157,42,180.34,166.37,F,167.64,6,173.355
158,42,180.34,166.37,F,165.1,6,173.355
159,43,181.61,166.37,M,185.42,2,173.99
160,43,181.61,166.37,F,165.608,2,173.99
161,44,181.61,165.1,M,173.99,2,173.355
162,44,181.61,165.1,M,171.958,2,173.355
163,45,180.34,165.1,M,172.72,3,172.72
164,45,180.34,165.1,M,172.72,3,172.72
165,45,180.34,165.1,F,157.48,3,172.72
166,46,180.34,162.56,F,172.72,8,171.45
167,46,180.34,162.56,F,172.72,8,171.45
168,46,180.34,162.56,F,171.45,8,171.45
169,46,180.34,162.56,F,168.91,8,171.45
170,46,180.34,162.56,F,168.91,8,171.45
171,46,180.34,162.56,F,167.64,8,171.45
172,46,180.34,162.56,F,166.37,8,171.45
173,46,180.34,162.56,F,165.1,8,171.45
174,47,182.118,163.83,M,182.88,4,172.974
175,47,182.118,163.83,M,180.34,4,172.974
176,47,182.118,163.83,M,179.07,4,172.974
177,47,182.118,163.83,F,170.18,4,172.974
178,48,180.34,162.56,M,172.72,3,171.45
179,48,180.34,162.56,M,172.72,3,171.45
180,48,180.34,162.56,M,172.72,3,171.45
181,49,181.61,163.83,M,182.88,7,172.72
182,49,181.61,163.83,M,180.34,7,172.72
183,49,181.61,163.83,M,177.8,7,172.72
184,49,181.61,163.83,F,167.64,7,172.72
185,49,181.61,163.83,F,163.83,7,172.72
186,49,181.61,163.83,F,163.83,7,172.72
187,49,181.61,163.83,F,157.48,7,172.72
188,51,180.848,160.02,F,171.45,2,170.434
189,51,180.848,160.02,F,163.83,2,170.434
190,52,180.34,161.29,M,180.34,5,170.815
191,52,180.34,161.29,M,170.18,5,170.815
192,52,180.34,161.29,F,167.64,5,170.815
193,52,180.34,161.29,F,165.1,5,170.815
194,52,180.34,161.29,F,161.29,5,170.815
195,53,180.34,160.02,M,180.34,9,170.18
196,53,180.34,160.02,M,177.8,9,170.18
197,53,180.34,160.02,M,177.8,9,170.18
198,53,180.34,160.02,M,162.56,9,170.18
199,53,180.34,160.02,F,165.1,9,170.18
200,53,180.34,160.02,F,165.1,9,170.18
201,53,180.34,160.02,F,162.56,9,170.18
202,53,180.34,160.02,F,160.02,9,170.18
203,53,180.34,160.02,F,160.02,9,170.18
204,54,180.34,160.02,M,180.34,4,170.18
205,54,180.34,160.02,M,180.34,4,170.18
206,54,180.34,160.02,M,177.8,4,170.18
207,54,180.34,160.02,F,161.29,4,170.18
208,55,180.34,157.48,M,180.34,5,168.91
209,55,180.34,157.48,M,177.8,5,168.91
210,55,180.34,157.48,F,163.83,5,168.91
211,55,180.34,157.48,F,158.75,5,168.91
212,55,180.34,157.48,F,156.21,5,168.91
213,56,180.34,157.48,M,182.88,5,168.91
214,56,180.34,157.48,M,179.07,5,168.91
215,56,180.34,157.48,M,179.07,5,168.91
216,56,180.34,157.48,F,163.83,5,168.91
217,56,180.34,157.48,F,152.4,5,168.91
218,57,180.34,158.75,M,177.8,5,169.545
219,57,180.34,158.75,F,162.56,5,169.545
220,57,180.34,158.75,F,162.56,5,169.545
221,57,180.34,158.75,F,162.56,5,169.545
222,57,180.34,158.75,F,158.75,5,169.545
223,58,180.34,157.48,M,179.07,7,168.91
224,58,180.34,157.48,M,177.8,7,168.91
225,58,180.34,157.48,M,175.26,7,168.91
226,58,180.34,157.48,M,175.26,7,168.91
227,58,180.34,157.48,M,167.64,7,168.91
228,58,180.34,157.48,F,163.83,7,168.91
229,58,180.34,157.48,F,162.56,7,168.91
230,59,180.34,154.94,F,157.48,1,167.64
231,60,180.34,147.32,M,181.61,2,163.83
232,60,180.34,147.32,M,175.26,2,163.83
233,61,177.8,175.26,M,180.34,4,176.53
234,61,177.8,175.26,M,177.8,4,176.53
235,61,177.8,175.26,M,175.26,4,176.53
236,61,177.8,175.26,F,175.26,4,176.53
237,62,177.8,175.26,M,177.8,6,176.53
238,62,177.8,175.26,M,174.498,6,176.53
239,62,177.8,175.26,F,172.72,6,176.53
240,62,177.8,175.26,F,167.64,6,176.53
241,62,177.8,175.26,F,162.56,6,176.53
242,62,177.8,175.26,F,157.48,6,176.53
243,63,177.8,172.72,M,190.5,1,175.26
244,64,177.8,170.18,M,177.8,5,173.99
245,64,177.8,170.18,M,175.26,5,173.99
246,64,177.8,170.18,F,167.64,5,173.99
247,64,177.8,170.18,F,162.56,5,173.99
248,64,177.8,170.18,F,152.4,5,173.99
249,65,177.8,170.18,F,171.45,1,173.99
250,66,177.8,168.91,M,185.42,11,173.355
251,66,177.8,168.91,M,182.88,11,173.355
252,66,177.8,168.91,M,182.88,11,173.355
253,66,177.8,168.91,M,168.91,11,173.355
254,66,177.8,168.91,F,175.768,11,173.355
255,66,177.8,168.91,F,170.688,11,173.355
256,66,177.8,168.91,F,168.91,11,173.355
257,66,177.8,168.91,F,167.64,11,173.355
258,66,177.8,168.91,F,167.64,11,173.355
259,66,177.8,168.91,F,163.068,11,173.355
260,66,177.8,168.91,F,161.798,11,173.355
261,67,179.07,165.1,M,182.88,4,172.085
262,67,179.07,165.1,M,178.308,4,172.085
263,67,179.07,165.1,M,175.26,4,172.085
264,67,179.07,165.1,M,173.99,4,172.085
265,68,179.07,165.1,F,172.72,5,172.085
266,68,179.07,165.1,F,165.1,5,172.085
267,68,179.07,165.1,F,156.21,5,172.085
268,68,179.07,165.1,F,154.94,5,172.085
269,68,179.07,165.1,F,154.94,5,172.085
270,69,177.8,165.1,M,185.42,8,171.45
271,69,177.8,165.1,M,182.88,8,171.45
272,69,177.8,165.1,M,179.07,8,171.45
273,69,177.8,165.1,M,165.1,8,171.45
274,69,177.8,165.1,M,165.1,8,171.45
275,69,177.8,165.1,F,163.83,8,171.45
276,69,177.8,165.1,F,160.02,8,171.45
277,69,177.8,165.1,F,157.48,8,171.45
278,70,177.8,165.1,M,170.18,5,171.45
279,70,177.8,165.1,M,165.1,5,171.45
280,70,177.8,165.1,F,163.83,5,171.45
281,70,177.8,165.1,F,158.75,5,171.45
282,70,177.8,165.1,F,158.75,5,171.45
283,71,177.8,165.1,M,177.8,6,171.45
284,71,177.8,165.1,M,177.8,6,171.45
285,71,177.8,165.1,F,170.18,6,171.45
286,71,177.8,165.1,F,165.1,6,171.45
287,71,177.8,165.1,F,165.1,6,171.45
288,71,177.8,165.1,F,160.02,6,171.45
289,72,177.8,165.1,M,200.66,7,171.45
290,72,177.8,165.1,M,190.5,7,171.45
291,72,177.8,165.1,M,180.34,7,171.45
292,72,177.8,165.1,F,175.26,7,171.45
293,72,177.8,165.1,F,170.18,7,171.45
294,72,177.8,165.1,F,166.878,7,171.45
295,72,177.8,165.1,F,157.48,7,171.45
296,73,177.8,165.1,M,185.42,3,171.45
297,73,177.8,165.1,M,184.15,3,171.45
298,73,177.8,165.1,F,165.1,3,171.45
299,74,177.8,165.1,M,175.26,2,171.45
300,74,177.8,165.1,M,175.26,2,171.45
301,75,177.8,164.338,M,182.88,7,171.069
302,75,177.8,164.338,M,177.8,7,171.069
303,75,177.8,164.338,M,174.498,7,171.069
304,75,177.8,164.338,F,168.91,7,171.069
305,75,177.8,164.338,F,166.37,7,171.069
306,75,177.8,164.338,F,164.338,7,171.069
307,75,177.8,164.338,F,163.83,7,171.069
308,76,177.8,162.56,M,179.578,7,170.18
309,76,177.8,162.56,M,177.8,7,170.18
310,76,177.8,162.56,M,172.72,7,170.18
311,76,177.8,162.56,M,170.18,7,170.18
312,76,177.8,162.56,M,167.64,7,170.18
313,76,177.8,162.56,M,165.1,7,170.18
314,76,177.8,162.56,F,170.18,7,170.18
315,77,177.8,162.56,M,177.8,4,170.18
316,77,177.8,162.56,M,172.72,4,170.18
317,77,177.8,162.56,M,169.418,4,170.18
318,77,177.8,162.56,F,166.37,4,170.18
319,78,177.8,163.068,M,182.88,5,170.434
320,78,177.8,163.068,M,177.8,5,170.434
321,78,177.8,163.068,F,158.75,5,170.434
322,78,177.8,163.068,F,155.448,5,170.434
323,78,177.8,163.068,F,152.654,5,170.434
324,79,179.07,162.56,M,187.96,8,170.815
325,79,179.07,162.56,M,176.53,8,170.815
326,79,179.07,162.56,M,175.26,8,170.815
327,79,179.07,162.56,M,172.72,8,170.815
328,79,179.07,162.56,M,172.72,8,170.815
329,79,179.07,162.56,M,172.72,8,170.815
330,79,179.07,162.56,F,166.37,8,170.815
331,79,179.07,162.56,F,165.1,8,170.815
332,80,179.07,163.83,F,152.4,1,171.45
333,81,177.8,162.56,M,172.72,4,170.18
334,81,177.8,162.56,F,165.1,4,170.18
335,81,177.8,162.56,F,162.56,4,170.18
336,81,177.8,162.56,F,157.48,4,170.18
337,82,177.8,162.56,M,180.34,9,170.18
338,82,177.8,162.56,M,177.8,9,170.18
339,82,177.8,162.56,M,177.8,9,170.18
340,82,177.8,162.56,M,177.8,9,170.18
341,82,177.8,162.56,M,176.53,9,170.18
342,82,177.8,162.56,M,173.99,9,170.18
343,82,177.8,162.56,F,175.26,9,170.18
344,82,177.8,162.56,F,165.1,9,170.18
345,82,177.8,162.56,F,162.56,9,170.18
346,83,177.8,161.798,M,177.8,8,169.799
347,83,177.8,161.798,M,170.18,8,169.799
348,83,177.8,161.798,M,166.37,8,169.799
349,83,177.8,161.798,F,161.798,8,169.799
350,83,177.8,161.798,F,160.528,8,169.799
351,83,177.8,161.798,F,158.75,8,169.799
352,83,177.8,161.798,F,157.988,8,169.799
353,83,177.8,161.798,F,154.94,8,169.799
354,85,179.07,160.02,M,184.15,5,169.545
355,85,179.07,160.02,M,175.26,5,169.545
356,85,179.07,160.02,M,170.18,5,169.545
357,85,179.07,160.02,F,163.83,5,169.545
358,85,179.07,160.02,F,162.56,5,169.545
359,86,177.8,161.29,M,180.34,4,169.545
360,86,177.8,161.29,M,171.45,4,169.545
361,86,177.8,161.29,F,171.45,4,169.545
362,86,177.8,161.29,F,161.29,4,169.545
363,87,177.8,160.02,M,172.72,4,168.91
364,87,177.8,160.02,M,170.18,4,168.91
365,87,177.8,160.02,F,161.798,4,168.91
366,87,177.8,160.02,F,157.48,4,168.91
367,88,177.8,160.02,M,177.8,4,168.91
368,88,177.8,160.02,M,168.91,4,168.91
369,88,177.8,160.02,F,157.48,4,168.91
370,88,177.8,160.02,F,154.94,4,168.91
371,89,179.07,157.48,M,182.88,8,168.275
372,89,179.07,157.48,M,177.8,8,168.275
373,89,179.07,157.48,M,176.53,8,168.275
374,89,179.07,157.48,M,176.53,8,168.275
375,89,179.07,157.48,M,172.72,8,168.275
376,89,179.07,157.48,F,165.1,8,168.275
377,89,179.07,157.48,F,162.56,8,168.275
378,89,179.07,157.48,F,160.02,8,168.275
379,90,178.562,159.258,M,179.578,7,168.91
380,90,178.562,159.258,M,177.038,7,168.91
381,90,178.562,159.258,M,175.768,7,168.91
382,90,178.562,159.258,M,165.608,7,168.91
383,90,178.562,159.258,F,162.56,7,168.91
384,90,178.562,159.258,F,161.29,7,168.91
385,90,178.562,159.258,F,160.528,7,168.91
386,91,179.07,157.48,M,182.88,3,168.275
387,91,179.07,157.48,M,182.88,3,168.275
388,91,179.07,157.48,F,152.4,3,168.275
389,92,177.8,154.94,M,180.848,2,166.37
390,92,177.8,154.94,M,170.18,2,166.37
391,93,177.8,152.4,M,170.18,4,165.1
392,93,177.8,152.4,M,163.83,4,165.1
393,93,177.8,152.4,F,165.1,4,165.1
394,93,177.8,152.4,F,160.02,4,165.1
395,94,177.8,152.4,F,165.1,2,165.1
396,94,177.8,152.4,F,165.1,2,165.1
397,95,177.8,148.59,M,181.61,3,163.195
398,95,177.8,148.59,M,163.83,3,163.195
399,95,177.8,148.59,F,160.02,3,163.195
400,96,177.8,147.32,M,182.88,5,162.56
401,96,177.8,147.32,M,167.64,5,162.56
402,96,177.8,147.32,F,167.64,5,162.56
403,96,177.8,147.32,F,165.1,5,162.56
404,96,177.8,147.32,F,160.02,5,162.56
405,97,175.26,173.99,M,190.5,10,174.625
406,97,175.26,173.99,M,180.34,10,174.625
407,97,175.26,173.99,M,177.8,10,174.625
408,97,175.26,173.99,F,167.64,10,174.625
409,97,175.26,173.99,F,167.64,10,174.625
410,97,175.26,173.99,F,166.37,10,174.625
411,97,175.26,173.99,F,165.1,10,174.625
412,97,175.26,173.99,F,165.1,10,174.625
413,97,175.26,173.99,F,162.56,10,174.625
414,97,175.26,173.99,F,162.56,10,174.625
415,98,175.26,170.18,F,162.56,1,172.72
416,99,175.26,167.64,M,185.42,8,171.45
417,99,175.26,167.64,M,182.88,8,171.45
418,99,175.26,167.64,M,182.118,8,171.45
419,99,175.26,167.64,M,181.61,8,171.45
420,99,175.26,167.64,F,166.37,8,171.45
421,99,175.26,167.64,F,165.1,8,171.45
422,99,175.26,167.64,F,159.258,8,171.45
423,99,175.26,167.64,F,158.75,8,171.45
424,100,175.26,167.64,M,180.848,3,171.45
425,100,175.26,167.64,M,180.34,3,171.45
426,100,175.26,167.64,M,177.8,3,171.45
427,101,175.26,169.418,M,190.5,6,172.339
428,101,175.26,169.418,M,187.96,6,172.339
429,101,175.26,169.418,M,182.88,6,172.339
430,101,175.26,169.418,M,173.99,6,172.339
431,101,175.26,169.418,M,170.18,6,172.339
432,101,175.26,169.418,M,167.64,6,172.339
433,102,175.26,167.64,M,177.8,6,171.45
434,102,175.26,167.64,M,173.99,6,171.45
435,102,175.26,167.64,M,172.72,6,171.45
436,102,175.26,167.64,F,165.1,6,171.45
437,102,175.26,167.64,F,160.02,6,171.45
438,102,175.26,167.64,F,158.75,6,171.45
439,103,175.26,168.91,M,185.42,5,172.085
440,103,175.26,168.91,M,180.34,5,172.085
441,103,175.26,168.91,M,179.07,5,172.085
442,103,175.26,168.91,M,179.07,5,172.085
443,103,175.26,168.91,F,154.94,5,172.085
444,104,176.53,168.91,M,179.07,4,172.72
445,104,176.53,168.91,M,171.45,4,172.72
446,104,176.53,168.91,F,163.83,4,172.72
447,104,176.53,168.91,F,162.56,4,172.72
448,105,175.26,168.91,M,180.34,6,172.085
449,105,175.26,168.91,F,173.99,6,172.085
450,105,175.26,168.91,F,171.45,6,172.085
451,105,175.26,168.91,F,167.64,6,172.085
452,105,175.26,168.91,F,160.02,6,172.085
453,105,175.26,168.91,F,160.02,6,172.085
454,106,176.53,167.64,M,180.34,7,172.085
455,106,176.53,167.64,M,180.34,7,172.085
456,106,176.53,167.64,M,179.07,7,172.085
457,106,176.53,167.64,M,179.07,7,172.085
458,106,176.53,167.64,F,168.91,7,172.085
459,106,176.53,167.64,F,166.37,7,172.085
460,106,176.53,167.64,F,163.83,7,172.085
461,107,175.26,167.64,M,185.42,9,171.45
462,107,175.26,167.64,M,182.88,9,171.45
463,107,175.26,167.64,M,175.26,9,171.45
464,107,175.26,167.64,M,175.26,9,171.45
465,107,175.26,167.64,F,168.91,9,171.45
466,107,175.26,167.64,F,166.37,9,171.45
467,107,175.26,167.64,F,166.37,9,171.45
468,107,175.26,167.64,F,165.1,9,171.45
469,107,175.26,167.64,F,162.56,9,171.45
470,108,175.26,165.1,M,177.8,7,170.18
471,108,175.26,165.1,M,173.99,7,170.18
472,108,175.26,165.1,M,170.18,7,170.18
473,108,175.26,165.1,F,165.1,7,170.18
474,108,175.26,165.1,F,162.56,7,170.18
475,108,175.26,165.1,F,161.29,7,170.18
476,108,175.26,165.1,F,154.94,7,170.18
477,109,176.53,163.83,M,177.038,7,170.18
478,109,176.53,163.83,M,172.72,7,170.18
479,109,176.53,163.83,M,152.4,7,170.18
480,109,176.53,163.83,F,165.608,7,170.18
481,109,176.53,163.83,F,163.83,7,170.18
482,109,176.53,163.83,F,161.798,7,170.18
483,109,176.53,163.83,F,152.4,7,170.18
484,110,175.768,162.56,M,182.118,4,169.164
485,110,175.768,162.56,M,168.91,4,169.164
486,110,175.768,162.56,F,165.1,4,169.164
487,110,175.768,162.56,F,161.29,4,169.164
488,112,175.26,160.02,M,175.26,3,167.64
489,112,175.26,160.02,F,171.45,3,167.64
490,112,175.26,160.02,F,161.29,3,167.64
491,113,175.26,160.02,M,182.88,1,167.64
492,114,175.26,160.02,M,185.42,6,167.64
493,114,175.26,160.02,M,177.8,6,167.64
494,114,175.26,160.02,M,177.8,6,167.64
495,114,175.26,160.02,M,162.56,6,167.64
496,114,175.26,160.02,F,167.64,6,167.64
497,114,175.26,160.02,F,157.48,6,167.64
498,115,175.26,161.29,M,179.07,7,168.275
499,115,175.26,161.29,M,170.18,7,168.275
500,115,175.26,161.29,M,167.64,7,168.275
501,115,175.26,161.29,F,165.1,7,168.275
502,115,175.26,161.29,F,160.02,7,168.275
503,115,175.26,161.29,F,157.48,7,168.275
504,115,175.26,161.29,F,154.94,7,168.275
505,116,175.26,161.29,M,179.07,3,168.275
506,116,175.26,161.29,F,161.798,3,168.275
507,116,175.26,161.29,F,160.02,3,168.275
508,117,177.038,157.48,F,158.75,1,167.259
509,118,176.53,157.48,M,185.42,3,167.005
510,118,176.53,157.48,M,182.88,3,167.005
511,118,176.53,157.48,M,175.26,3,167.005
512,119,175.26,157.48,M,185.42,5,166.37
513,119,175.26,157.48,M,180.34,5,166.37
514,119,175.26,157.48,M,180.34,5,166.37
515,119,175.26,157.48,M,175.26,5,166.37
516,119,175.26,157.48,F,160.02,5,166.37
517,121,175.26,158.75,M,180.34,8,167.005
518,121,175.26,158.75,M,177.8,8,167.005
519,121,175.26,158.75,M,177.8,8,167.005
520,121,175.26,158.75,M,175.26,8,167.005
521,121,175.26,158.75,F,161.29,8,167.005
522,121,175.26,158.75,F,158.75,8,167.005
523,121,175.26,158.75,F,158.75,8,167.005
524,121,175.26,158.75,F,157.48,8,167.005
525,122,175.26,157.48,M,182.88,4,166.37
526,122,175.26,157.48,M,172.72,4,166.37
527,122,175.26,157.48,F,167.64,4,166.37
528,122,175.26,157.48,F,167.64,4,166.37
529,123,176.53,154.94,M,177.8,5,165.735
530,123,176.53,154.94,M,176.53,5,165.735
531,123,176.53,154.94,M,175.26,5,165.735
532,123,176.53,154.94,F,160.02,5,165.735
533,123,176.53,154.94,F,157.48,5,165.735
534,124,175.26,154.94,M,172.72,9,165.1
535,124,175.26,154.94,M,172.72,9,165.1
536,124,175.26,154.94,M,171.45,9,165.1
537,124,175.26,154.94,M,162.56,9,165.1
538,124,175.26,154.94,M,160.02,9,165.1
539,124,175.26,154.94,M,160.02,9,165.1
540,124,175.26,154.94,F,161.29,9,165.1
541,124,175.26,154.94,F,157.48,9,165.1
542,124,175.26,154.94,F,157.48,9,165.1
543,125,175.26,152.4,M,179.07,3,163.83
544,125,175.26,152.4,F,172.72,3,163.83
545,125,175.26,152.4,F,158.75,3,163.83
546,126,175.26,152.4,M,175.26,4,163.83
547,126,175.26,152.4,M,167.64,4,163.83
548,126,175.26,152.4,F,156.718,4,163.83
549,126,175.26,152.4,F,153.67,4,163.83
550,127,175.26,153.67,M,176.53,1,164.465
551,128,174.498,179.07,M,180.34,2,176.784
552,128,174.498,179.07,F,156.718,2,176.784
553,129,173.99,170.18,M,185.42,3,172.085
554,129,173.99,170.18,M,180.34,3,172.085
555,129,173.99,170.18,F,170.18,3,172.085
556,130,173.99,168.91,M,177.8,11,171.45
557,130,173.99,168.91,M,175.26,11,171.45
558,130,173.99,168.91,M,175.26,11,171.45
559,130,173.99,168.91,M,174.498,11,171.45
560,130,173.99,168.91,M,173.99,11,171.45
561,130,173.99,168.91,M,173.99,11,171.45
562,130,173.99,168.91,M,172.72,11,171.45
563,130,173.99,168.91,M,172.72,11,171.45
564,130,173.99,168.91,M,172.72,11,171.45
565,130,173.99,168.91,F,160.528,11,171.45
566,131,172.72,165.1,M,171.45,2,168.91
567,131,172.72,165.1,M,167.64,2,168.91
568,132,172.72,166.37,M,167.64,2,169.545
569,132,172.72,166.37,F,162.56,2,169.545
570,133,172.72,166.37,M,182.118,7,169.545
571,133,172.72,166.37,M,181.61,7,169.545
572,133,172.72,166.37,M,179.578,7,169.545
573,133,172.72,166.37,M,166.37,7,169.545
574,133,172.72,166.37,F,168.91,7,169.545
575,133,172.72,166.37,F,165.608,7,169.545
576,133,172.72,166.37,F,156.21,7,169.545
577,134,172.72,165.1,M,182.88,4,168.91
578,134,172.72,165.1,M,182.88,4,168.91
579,134,172.72,165.1,F,172.72,4,168.91
580,134,172.72,165.1,F,167.64,4,168.91
